id_receta,nombre,tipo_cocina,tipo_comida,dieta_compatible,alergenos_presentes,tiempo_total_min,nivel_dificultad,ingredientes
1,Arepa con huevo frito,Colombiana,Desayuno,"Omní­voro, Vegetariano",Huevo,15,Principiante,"2 arepas de maí­z, 2 huevos, aceite, sal al gusto"
2,Arepa con hogao,Colombiana,Desayuno,"Omní­voro, Vegetariano, Vegano",Ninguno,20,Principiante,"2 arepas de maí­z, 2 tomates, 1/4 cebolla larga, aceite, sal, cilantro"
3,Arepa con queso,Colombiana,Desayuno,"Omní­voro, Vegetariano",Lácteos,10,Principiante,"2 arepas de maí­z, 50g queso blanco, sal al gusto"
4,Arepa de choclo con queso,Colombiana,Desayuno,"Omní­voro, Vegetariano",Lácteos,20,Principiante,"2 arepas de chócolo, 50g queso doble crema, mantequilla"
5,Migao,Colombiana,Desayuno,"Omní­voro, Vegetariano",Lácteos,25,Principiante,"1 taza harina de maí­z, 1 taza leche, 50g queso, sal, panela al gusto"
6,Changua,Colombiana,Desayuno,"Omní­voro, Vegetariano","Lácteos, Huevo",20,Principiante,"1 taza leche, 1 taza agua, 2 huevos, cebolla larga, cilantro, sal, pan"
7,Calentado paisa,Colombiana,Desayuno,Omní­voro,Ninguno,20,Principiante,"1 taza arroz del dí­a anterior, 1/2 taza frijoles cocidos, 1 huevo, chicharrón, sal, aceite"
8,Tostadas francesas,Colombiana,Desayuno,"Omní­voro, Vegetariano","Gluten, Huevo, Lácteos",15,Principiante,"2 tajadas pan, 2 huevos, 50ml leche, canela, azúcar, mantequilla"
9,Panqueques con fruta,Internacional,Desayuno,"Omní­voro, Vegetariano","Gluten, Huevo, Lácteos",20,Principiante,"1 taza harina, 1 huevo, 200ml leche, 1 cucharada mantequilla, fruta al gusto, miel o panela"
10,Sanduche de jamón y queso,Colombiana,Desayuno,Omní­voro,"Gluten, Lácteos",10,Principiante,"2 tajadas pan, 2 lonchas jamón, 1 loncha queso, mostaza o mayonesa"
11,Sanduche de aguacate y huevo,Colombiana,Desayuno,"Omní­voro, Vegetariano","Gluten, Huevo",15,Principiante,"2 tajadas pan integral, 1 huevo, 1/2 aguacate, sal, limón, tomate"
12,Granola con yogur y fruta,Internacional,Desayuno,"Omní­voro, Vegetariano","Lácteos, Gluten",5,Principiante,"1/2 taza granola, 150g yogur natural, fruta picada al gusto, miel opcional"
13,Avena en leche,Colombiana,Desayuno,"Omní­voro, Vegetariano","Lácteos, Gluten",10,Principiante,"1/2 taza avena, 250ml leche, canela, panela o azúcar al gusto, clavo opcional"
14,Huevos pericos,Colombiana,Desayuno,"Omní­voro, Vegetariano",Huevo,10,Principiante,"3 huevos, 1 tomate, 1/4 cebolla larga, sal, aceite, cilantro"
15,Huevos revueltos con tomate y cebolla,Colombiana,Desayuno,"Omní­voro, Vegetariano",Huevo,10,Principiante,"3 huevos, 1 tomate, 1/4 cebolla, sal, aceite"
16,Avena vegana con fruta y semillas,Internacional,Desayuno,"Omní­voro, Vegetariano, Vegano",Gluten,10,Principiante,"1/2 taza avena, 250ml leche de avena o agua, 1 banano, semillas de chí­a, panela"
17,Tostadas con aguacate y tomate cherry,Colombiana,Desayuno,"Omní­voro, Vegetariano, Vegano",Gluten,10,Principiante,"2 tajadas pan integral, 1/2 aguacate, tomate cherry, sal, limón, aceite de oliva"
18,Batido verde de espinaca y banano,Internacional,Desayuno,"Omní­voro, Vegetariano, Vegano",Ninguno,5,Principiante,"1 banano, 1 taza espinaca, 200ml agua o leche vegetal, 1 cucharada miel"
19,Chocolate santafereño con pan,Colombiana,Desayuno,"Omní­voro, Vegetariano","Lácteos, Gluten",15,Principiante,"2 pastillas chocolate de mesa, 250ml leche, 2 panes, queso opcional"
20,Tamal antioqueño,Colombiana,Desayuno,Omní­voro,Ninguno,120,Avanzado,"300g masa de maí­z, 100g cerdo, 1 presa pollo, papa, zanahoria, arveja, hojas de plátano, sal, comino"
21,Arroz blanco,Colombiana,Almuerzo,"Omní­voro, Vegetariano, Vegano",Ninguno,20,Principiante,"1 taza arroz, 2 tazas agua, sal, aceite, ajo opcional"
22,Arroz con pollo,Colombiana,Almuerzo,Omní­voro,Ninguno,40,Principiante,"1/2 taza arroz, 1 presa pollo, zanahoria, arveja, cebolla, tomate, comino, sal, aceite"
23,Arroz con atún,Colombiana,Almuerzo,Omní­voro,Ninguno,25,Principiante,"1/2 taza arroz, 1 lata atún, tomate, cebolla, sal, aceite, cilantro"
24,Arroz con verduras salteadas,Colombiana,Almuerzo,"Omní­voro, Vegetariano, Vegano",Ninguno,25,Principiante,"1 taza arroz cocido, zanahoria, arveja, pimentón, cebolla, sal, aceite, salsa soya opcional"
25,Frijoles antioqueños,Colombiana,Almuerzo,"Omní­voro, Vegetariano",Ninguno,90,Intermedio,"1 taza frijoles, 1/4 hogao, cebolla, ajo, comino, sal, cilantro, plátano maduro opcional"
26,Lentejas guisadas,Colombiana,Almuerzo,"Omní­voro, Vegetariano, Vegano",Ninguno,35,Principiante,"1 taza lentejas, tomate, cebolla, ajo, comino, sal, aceite, cilantro"
27,Garbanzo guisado,Colombiana,Almuerzo,"Omní­voro, Vegetariano, Vegano",Ninguno,35,Principiante,"1 lata garbanzos, tomate, cebolla, ajo, pimentón, comino, sal, aceite"
28,Papa criolla salada,Colombiana,Almuerzo,"Omní­voro, Vegetariano, Vegano",Ninguno,20,Principiante,"300g papa criolla, sal, agua"
29,Papa al horno con mantequilla,Colombiana,Almuerzo,"Omní­voro, Vegetariano",Lácteos,45,Principiante,"2 papas medianas, 1 cucharada mantequilla, sal, pimienta, queso opcional"
30,Puré de papa,Colombiana,Almuerzo,"Omní­voro, Vegetariano",Lácteos,25,Principiante,"3 papas medianas, 50ml leche, 1 cucharada mantequilla, sal, nuez moscada opcional"
31,Yuca cocida con hogao,Colombiana,Almuerzo,"Omní­voro, Vegetariano, Vegano",Ninguno,30,Principiante,"200g yuca, 2 tomates, 1/4 cebolla, aceite, sal, cilantro"
32,Plátano maduro asado,Colombiana,Almuerzo,"Omní­voro, Vegetariano, Vegano",Ninguno,15,Principiante,"1 plátano maduro, sal o panela al gusto"
33,Patacones,Colombiana,Almuerzo,"Omní­voro, Vegetariano, Vegano",Ninguno,20,Principiante,"1 plátano verde, aceite para freí­r, sal al gusto"
34,Ensalada de tomate y pepino,Colombiana,Almuerzo,"Omní­voro, Vegetariano, Vegano",Ninguno,10,Principiante,"2 tomates, 1 pepino, 1/4 cebolla, limón, sal, aceite, cilantro"
35,Ensalada verde con vinagreta,Internacional,Almuerzo,"Omní­voro, Vegetariano, Vegano",Ninguno,10,Principiante,"lechuga, espinaca, tomate cherry, 2 cucharadas aceite de oliva, 1 cucharada vinagre, sal, mostaza"
36,Ensalada de zanahoria rallada,Colombiana,Almuerzo,"Omní­voro, Vegetariano, Vegano",Ninguno,10,Principiante,"2 zanahorias, limón, sal, aceite, cilantro opcional"
37,Ensalada de remolacha,Colombiana,Almuerzo,"Omní­voro, Vegetariano, Vegano",Ninguno,30,Principiante,"2 remolachas medianas, limón, sal, aceite, cebolla opcional"
38,Pechuga de pollo a la plancha,Colombiana,Almuerzo,Omní­voro,Ninguno,20,Principiante,"1 pechuga de pollo, ajo, comino, sal, pimienta, aceite, limón"
39,Pechuga de pollo al horno con especias,Colombiana,Almuerzo,Omní­voro,Ninguno,40,Principiante,"1 pechuga de pollo, ajo, paprika, comino, sal, pimienta, aceite"
40,Muslos de pollo guisados,Colombiana,Almuerzo,Omní­voro,Ninguno,45,Principiante,"2 muslos pollo, tomate, cebolla, ajo, comino, sal, aceite, cilantro"
41,Carne molida guisada,Colombiana,Almuerzo,Omní­voro,Ninguno,25,Principiante,"200g carne molida, tomate, cebolla, ajo, pimentón, comino, sal, aceite"
42,Bistec a la criolla,Colombiana,Almuerzo,Omní­voro,Ninguno,20,Principiante,"150g bistec de res, tomate, cebolla, ajo, comino, sal, aceite, cilantro"
43,Hí­gado encebollado,Colombiana,Almuerzo,Omní­voro,Ninguno,25,Principiante,"150g hí­gado de res, 1 cebolla grande, ajo, sal, aceite, comino"
44,Chuleta de cerdo a la plancha,Colombiana,Almuerzo,Omní­voro,Ninguno,20,Principiante,"1 chuleta de cerdo, ajo, sal, comino, aceite, limón"
45,Atún salteado con cebolla y tomate,Colombiana,Almuerzo,Omní­voro,Ninguno,15,Principiante,"1 lata atún, 1 tomate, 1/4 cebolla, ajo, sal, aceite, cilantro"
46,Sardina con hogao,Colombiana,Almuerzo,Omní­voro,Mariscos,15,Principiante,"1 lata sardinas, 2 tomates, 1/4 cebolla, ajo, aceite, sal, cilantro"
47,Ensalada de garbanzos con vegetales,Colombiana,Almuerzo,"Omní­voro, Vegetariano, Vegano",Ninguno,10,Principiante,"1 lata garbanzos, tomate, pepino, cebolla, limón, aceite de oliva, sal, cilantro"
48,Tortilla de huevo con verduras,Colombiana,Almuerzo,"Omní­voro, Vegetariano",Huevo,20,Principiante,"3 huevos, pimentón, cebolla, tomate, sal, aceite"
49,Bandeja paisa,Colombiana,Almuerzo,Omní­voro,Ninguno,90,Intermedio,"1/2 taza arroz, 1/2 taza frijoles, 1 huevo, chicharrón, chorizo, morcilla, carne molida, plátano maduro, arepa, aguacate"
50,Sancocho de pollo,Colombiana,Almuerzo,Omní­voro,Ninguno,60,Intermedio,"1 presa pollo, papa, yuca, plátano verde, mazorca, cebolla, ajo, cilantro, sal, comino"
51,Sancocho de costilla,Colombiana,Almuerzo,Omní­voro,Ninguno,90,Intermedio,"200g costilla de res, papa, yuca, plátano, mazorca, cebolla, cilantro, sal, comino"
52,Ajiaco bogotano,Colombiana,Almuerzo,Omní­voro,Lácteos,60,Intermedio,"1 presa pollo, papa pastusa, papa criolla, papa sabanera, guascas, mazorca, crema de leche, alcaparras, sal"
53,Sopa de lentejas con papa,Colombiana,Almuerzo,"Omní­voro, Vegetariano, Vegano",Ninguno,40,Principiante,"1/2 taza lentejas, 2 papas, tomate, cebolla, ajo, comino, sal, cilantro"
54,Sopa de frijoles,Colombiana,Almuerzo,"Omní­voro, Vegetariano",Ninguno,40,Principiante,"1/2 taza frijoles cocidos, papa, plátano verde, cebolla, cilantro, sal"
55,Sopa de pasta con pollo,Colombiana,Almuerzo,Omní­voro,Gluten,35,Principiante,"1/2 taza pasta corta, 1 presa pollo, papa, zanahoria, cebolla, cilantro, sal"
56,Sopa de verduras,Colombiana,Almuerzo,"Omní­voro, Vegetariano, Vegano",Ninguno,35,Principiante,"papa, zanahoria, habichuela, arveja, cebolla, cilantro, sal, aceite"
57,Crema de ahuyama vegana,Colombiana,Almuerzo,"Omní­voro, Vegetariano, Vegano",Ninguno,30,Principiante,"300g ahuyama, cebolla, ajo, 200ml leche de coco, sal, aceite, comino"
58,Pasta con salsa de tomate y albahaca,Internacional,Almuerzo,"Omní­voro, Vegetariano, Vegano",Gluten,25,Principiante,"1 taza pasta, 3 tomates, ajo, albahaca, aceite de oliva, sal, azúcar"
59,Pasta con atún y tomate,Colombiana,Almuerzo,Omní­voro,Gluten,25,Principiante,"1 taza pasta, 1 lata atún, 2 tomates, ajo, cebolla, sal, aceite, orégano"
60,Pasta con pollo y crema,Internacional,Almuerzo,Omní­voro,"Gluten, Lácteos",30,Principiante,"1 taza pasta, 1 pechuga de pollo, 100ml crema de leche, ajo, sal, pimienta, queso"
61,Espaguetis con carne molida,Internacional,Almuerzo,Omní­voro,Gluten,30,Principiante,"1 taza espaguetis, 150g carne molida, 2 tomates, ajo, cebolla, orégano, sal, aceite"
62,Pasta con pesto de albahaca,Internacional,Almuerzo,"Omní­voro, Vegetariano","Gluten, Lácteos, Nueces",20,Principiante,"1 taza pasta, 1 taza albahaca, 2 cucharadas aceite de oliva, ajo, queso parmesano, sal"
63,Caldo de costilla,Colombiana,Almuerzo,Omní­voro,Ninguno,60,Principiante,"200g costilla de res, papa, cebolla, cilantro, ajo, sal, comino"
64,Caldo de papa,Colombiana,Almuerzo,"Omní­voro, Vegetariano, Vegano",Ninguno,25,Principiante,"3 papas medianas, cebolla larga, cilantro, sal, aceite, ajo"
65,Sudado de pollo,Colombiana,Almuerzo,Omní­voro,Ninguno,40,Principiante,"1 presa pollo, 2 papas, tomate, cebolla, ajo, sal, comino, aceite, cilantro"
66,Sudado de res,Colombiana,Almuerzo,Omní­voro,Ninguno,60,Intermedio,"150g carne de res, 2 papas, tomate, cebolla, ajo, comino, sal, aceite, cilantro"
67,Bowl de arroz con garbanzos al curry,Internacional,Almuerzo,"Omní­voro, Vegetariano, Vegano",Ninguno,30,Principiante,"1 taza arroz, 1 lata garbanzos, 200ml leche de coco, curry en polvo, cebolla, ajo, sal"
68,Arroz con huevo frito y plátano,Colombiana,Almuerzo,"Omní­voro, Vegetariano",Huevo,20,Principiante,"1 taza arroz cocido, 2 huevos, 1/2 plátano maduro, aceite, sal"
69,Torta de plátano maduro con queso,Colombiana,Almuerzo,"Omní­voro, Vegetariano","Lácteos, Huevo",30,Principiante,"2 plátanos maduros, 100g queso, 2 huevos, sal, aceite"
70,Aborrajados de plátano con queso,Colombiana,Merienda,"Omní­voro, Vegetariano","Lácteos, Huevo, Gluten",25,Intermedio,"1 plátano maduro, 50g queso, 1 huevo, harina, aceite para freí­r, sal"
71,Empanadas de pipián,Colombiana,Merienda,"Omní­voro, Vegetariano, Vegano",Ninguno,40,Intermedio,"200g masa de maí­z, 150g pipián cocido, cebolla, sal, aceite para freí­r"
72,Empanadas de carne,Colombiana,Merienda,Omní­voro,Ninguno,40,Intermedio,"200g masa de maí­z, 100g carne molida, papa, cebolla, comino, sal, aceite para freí­r"
73,Buñuelos,Colombiana,Merienda,"Omní­voro, Vegetariano","Lácteos, Huevo, Gluten",25,Intermedio,"1 taza harina de trigo, 50g queso costeño, 1 huevo, 1 cucharadita polvo de hornear, aceite para freí­r"
74,Almojábanas,Colombiana,Merienda,"Omní­voro, Vegetariano","Lácteos, Gluten",30,Intermedio,"1 taza masarepa, 100g queso doble crema, 1 huevo, sal, mantequilla"
75,Pandebono,Colombiana,Merienda,"Omní­voro, Vegetariano","Lácteos, Huevo",25,Intermedio,"1 taza almidón de yuca, 100g queso costeño, 1 huevo, sal"
76,Arepa con mantequilla y bocadillo,Colombiana,Merienda,"Omní­voro, Vegetariano",Lácteos,10,Principiante,"1 arepa, 1 cucharada mantequilla, 1 bocadillo"
77,Fruta picada con sal y limón,Colombiana,Merienda,"Omní­voro, Vegetariano, Vegano",Ninguno,10,Principiante,"mango, piña, sandí­a o melón al gusto, sal, limón"
78,Maní­ con panela,Colombiana,Merienda,"Omní­voro, Vegetariano, Vegano",Nueces,15,Principiante,"100g maní­, 1/4 panela, agua"
79,Yogur con granola y fruta,Internacional,Merienda,"Omní­voro, Vegetariano","Lácteos, Gluten",5,Principiante,"150g yogur natural, 1/4 taza granola, fruta picada, miel opcional"
